campaign_id,peak_discharge_cfs,discharge_percentile,duration_h,pre_sample_rise_rate_cfs_per_h,discharge_variability,dominant_hydrologic_condition,discharge_coverage_frac,turbidity_coverage_frac
1,509.0,99.95228836406089,5.98,17.633333333333333,94.58916199856586,Rising stage,0.6019,0.0648
2,397.0,99.92547695802432,1.92,54.376666666666665,100.86387863522727,Falling stage,0.4107,0.0
3,96.0,99.65440730959152,0.75,12.758333333333333,19.93547052493382,Falling stage,0.3571,0.0
4,785.0,99.98585539996495,8.32,35.27333333333333,227.47849958205776,Rising stage,0.6066,0.6148
5,161.0,99.77094192480563,0.5,26.82166666666667,36.18034216893587,Falling stage,0.3642,0.3245
6,311.0,99.8942321698872,9.5,27.651666666666667,56.394807387172214,Falling stage,0.3745,0.3475
7,346.0,99.90922122365569,23.25,43.86833333333333,77.90225009968238,"Stable, normal stage",0.5259,0.0
8,282.0,99.88114313701895,6.08,25.876666666666665,66.18810084253508,Falling stage,0.5183,0.0
9,698.0,99.97888865666411,0.0,97.95,177.67389076006287,Peak stage,0.5931,0.0
10,176.0,99.79099770097471,0.83,16.811666666666667,49.77651898838574,Rising stage,0.4065,0.2839
11,217.0,99.83448706824663,6.83,19.466666666666665,59.55592414049373,Rising stage,0.6344,0.5286
12,363.0,99.91555462665644,9.75,26.311666666666667,63.516621670226336,Falling stage,0.4198,0.0
13,394.0,99.92442139085752,0.5,52.44166666666666,87.55084485878078,Falling stage,0.543,0.0
14,111.0,99.68607432459535,3.08,12.291666666666666,24.070437240473936,Falling stage,0.5359,0.4972
15,967.0,99.9928221432658,22.68,18.288333333333334,196.47506074736174,Rising stage,0.5971,0.5612
16,693.0,99.97867754323076,34.43,19.366666666666667,110.55935492349913,Rising stage,0.7168,0.1093
17,424.0,99.93518817595883,0.08,0.8166666666666664,123.42129393065932,Falling stage,0.8276,0.4483
18,60.1,99.53787269437741,0.5,6.366666666666666,10.58246113947796,Peak stage,0.4172,0.3113
19,241.0,99.85538729814917,24.33,15.325000000000001,33.83988192061788,Falling stage,0.4462,0.3547
20,44.0,99.43949383443218,0.58,7.028333333333333,8.778568414526442,Peak stage,0.375,0.3421
21,498.0,99.94954388942723,5.43,68.69500000000001,88.87648010540879,Falling stage,0.3952,0.3381
22,39.1,99.40233787016102,0.0,5.539999999999999,9.768991992291454,Peak stage,0.3862,0.2207
23,47.9,99.46841637480235,0.5,7.758333333333333,8.51834250158791,Peak stage,0.3467,0.2933
24,78.9,99.61028460201952,0.52,9.211666666666668,15.013822064195598,Falling stage,0.351,0.0397
25,47.6,99.46799414793563,0.42,7.863333333333333,10.492696442482515,Falling stage,0.38,0.3333
26,392.0,99.9239991639908,15.5,5.695,98.43901862056398,Rising stage,0.5455,0.2939
27,84.6,99.62548476922134,0.35,14.081666666666665,14.889926053161693,Falling stage,0.3624,0.2282
28,379.0,99.91998800875699,1.35,41.64833333333333,117.24837350531861,Falling stage,0.4161,0.323
29,447.0,99.9415215789596,3.85,26.973333333333333,115.98468811756548,Rising stage,0.4764,0.3298
30,35.1,99.35821516258902,0.02,5.08,9.431348768652319,Falling stage,0.3793,0.331
31,36.8,99.3803820730917,3.18,5.723333333333333,9.395998142896252,Falling stage,0.4754,0.3333
32,818.0,99.98838876116525,2.1,117.13,182.63891160349775,Falling stage,0.4176,0.2118
33,62.3,99.54990616007888,0.25,6.861666666666667,10.84075855119508,Falling stage,0.3514,0.0
34,213.0,99.8311092533129,0.77,12.711666666666666,41.541765636664245,Falling stage,0.4156,0.3312
35,138.0,99.73695266203484,2.92,21.27,24.97042697931719,Falling stage,0.3778,0.2778
36,31.9,99.31831472368418,0.0,5.2,5.326928202860573,Peak stage,0.3517,0.3379
37,561.0,99.96094401482861,1.33,17.228333333333335,139.0524779203193,Falling stage,0.4037,0.323
38,106.0,99.6744630857606,7.58,7.18,26.59535610158685,Rising stage,0.5975,0.2966
39,264.0,99.87016523848429,26.25,4.2316666666666665,35.815220632443065,Falling stage,0.4565,0.3348
40,278.0,99.87945422955208,0.33,46.18833333333333,53.09090941310904,Falling stage,0.3893,0.3356
41,713.0,99.98057756413098,39.92,8.336666666666666,138.62568804664085,Falling stage,0.391,0.2981
42,88.2,99.63709600805609,0.33,9.315,9.661963825560669,Falling stage,1.0,0.9396
43,54.7,99.51317242267443,0.33,8.92,6.60144350560542,Peak stage,1.0,0.9732
44,777.0,99.98522205966488,1.08,107.85000000000001,128.22713643816772,Falling stage,1.0,0.9051
45,703.0,99.9795219969642,0.68,102.97500000000001,104.46277556846238,Falling stage,1.0,0.2288
46,292.0,99.88642097285292,0.77,39.72666666666667,51.70858744826073,Rising stage,1.0,0.6494
47,69.2,99.57988426761584,4.75,11.403333333333334,9.591634126261203,Peak stage,1.0,0.0
48,1270.0,99.99725552536634,3.83,100.25166666666667,368.6433454597937,Rising stage,1.0,0.9791
49,316.0,99.89697664452086,1.35,52.446666666666665,41.46070469357568,Falling stage,1.0,0.0
