alarm_time,alarm_end,duration_h
2017-10-13 15:00:00+00:00,2017-10-13 18:30:00+00:00,3.5
2017-10-13 19:45:00+00:00,2017-10-13 20:45:00+00:00,1.0
2017-10-24 00:45:00+00:00,2017-10-24 08:20:00+00:00,7.583333333333333
2017-10-24 11:15:00+00:00,2017-10-24 15:30:00+00:00,4.25
2017-10-29 08:45:00+00:00,2017-10-29 11:15:00+00:00,2.5
2017-11-11 19:00:00+00:00,2017-11-11 22:15:00+00:00,3.25
2017-11-12 00:30:00+00:00,2017-11-12 16:00:00+00:00,15.5
2017-11-15 12:00:00+00:00,2017-11-15 14:00:00+00:00,2.0
2017-11-26 05:15:00+00:00,2017-11-26 06:45:00+00:00,1.5
2017-11-26 14:45:00+00:00,2017-11-26 20:00:00+00:00,5.25
2017-11-27 20:30:00+00:00,2017-11-27 20:45:00+00:00,0.25
2017-11-27 22:45:00+00:00,2017-11-28 00:30:00+00:00,1.75
2017-11-28 23:30:00+00:00,2017-11-29 01:30:00+00:00,2.0
2017-11-29 02:45:00+00:00,2017-11-29 11:30:00+00:00,8.75
2017-11-30 06:00:00+00:00,2017-12-01 02:45:00+00:00,20.75
2017-12-01 10:30:00+00:00,2017-12-02 14:00:00+00:00,27.5
2017-12-02 18:45:00+00:00,2017-12-02 23:45:00+00:00,5.0
2017-12-03 01:15:00+00:00,2017-12-03 01:45:00+00:00,0.5
2017-12-21 04:15:00+00:00,2017-12-21 04:45:00+00:00,0.5
2017-12-26 15:15:00+00:00,2017-12-27 22:00:00+00:00,30.75
2017-12-28 00:30:00+00:00,2017-12-28 04:15:00+00:00,3.75
2017-12-30 06:00:00+00:00,2017-12-30 07:30:00+00:00,1.5
2018-01-20 14:45:00+00:00,2018-01-20 17:30:00+00:00,2.75
2018-01-21 02:15:00+00:00,2018-01-21 16:00:00+00:00,13.75
2018-01-21 20:30:00+00:00,2018-01-21 22:15:00+00:00,1.75
2018-01-24 04:15:00+00:00,2018-01-24 07:45:00+00:00,3.5
2018-01-24 09:15:00+00:00,2018-01-24 22:00:00+00:00,12.75
2018-02-02 12:45:00+00:00,2018-02-02 13:15:00+00:00,0.5
2018-02-05 07:45:00+00:00,2018-02-05 09:15:00+00:00,1.5
2018-02-05 16:30:00+00:00,2018-02-05 20:15:00+00:00,3.75
2018-02-06 01:15:00+00:00,2018-02-06 03:15:00+00:00,2.0
2018-02-06 10:00:00+00:00,2018-02-06 11:00:00+00:00,1.0
2018-02-14 19:15:00+00:00,2018-02-15 05:30:00+00:00,10.25
2018-02-15 13:30:00+00:00,2018-02-15 22:00:00+00:00,8.5
2018-02-19 00:15:00+00:00,2018-02-19 19:15:00+00:00,19.0
