campaign_id,detected,n_alarms_in_window,lead_lag_minutes
19,True,2,-15.0
20,True,1,-14.0
21,True,1,-150.0
22,True,1,-35.0
23,True,1,-175.0
24,True,1,-190.0
25,True,3,-345.0
26,True,1,-20.0
27,True,4,-145.0
28,True,2,-10.0
29,True,2,-5.0
30,True,3,-10.0
33,True,1,-225.0
34,True,1,-25.0
35,True,1,-115.0
36,True,2,-75.0
37,True,2,-14.0
38,True,1,-10.0
39,True,1,-14.0
40,True,1,-24.0
41,True,2,-9.0
42,True,1,-219.0
43,True,2,-45.0
44,True,1,-125.0
45,True,1,30.0
46,True,2,231.0
47,True,1,-95.0
48,True,2,-150.0
49,True,1,-80.0
50,True,1,-16.0
51,True,1,-76.0
52,True,1,-40.0
53,True,1,-255.0
54,True,2,-340.0
55,True,1,-121.0
56,True,2,-265.0
