campaign_id,detected,n_alarms_in_window,lead_lag_minutes
19,True,2,-305.0
20,True,1,-134.0
21,True,1,-255.0
23,True,2,-350.0
24,True,1,-330.0
25,True,2,-70.0
26,True,1,-155.0
27,True,4,-215.0
28,True,3,-15.0
29,True,3,-360.0
30,True,3,-245.0
32,True,3,425.0
33,True,1,-220.0
34,True,1,-250.0
35,True,1,-105.0
37,True,2,-154.0
38,True,1,-20.0
39,True,1,-284.0
40,True,1,-29.0
41,True,1,-29.0
42,True,1,6.0
43,True,3,-45.0
44,True,1,-125.0
45,True,1,-220.0
46,True,2,-39.0
47,True,1,-170.0
48,True,2,-135.0
49,False,0,
50,True,1,-56.0
52,True,1,-10.0
53,True,1,-165.0
54,True,1,-60.0
55,True,1,-11.0
56,True,1,-265.0
