campaign_id,detected,n_alarms_in_window,lead_lag_minutes
9,True,1,-120.0
10,False,0,
11,True,1,-170.0
12,True,2,-40.0
13,False,0,
14,False,0,
15,False,0,
16,True,1,-260.0
17,True,1,-270.0
18,True,2,-60.0
19,True,1,-15.0
20,True,2,-250.0
21,True,1,-5.0
22,True,1,-30.0
23,True,1,-16.0
24,True,2,-171.0
25,True,2,-296.0
26,True,1,-106.0
27,True,2,-66.0
28,True,1,-91.0
29,True,1,-71.0
30,True,1,-16.0
31,True,1,-46.0
32,True,2,-6.0
33,True,2,-151.0
34,True,1,-16.0
35,True,1,-26.0
36,True,1,-10.0
37,True,1,-175.0
38,True,1,-96.0
39,True,2,-216.0
40,True,2,-235.0
41,True,2,-185.0
42,True,1,-25.0
43,True,1,-220.0
44,True,1,-41.0
45,True,1,-11.0
46,True,1,-10.0
47,True,2,-60.0
48,True,2,-215.0
49,True,1,-90.0
50,True,1,-85.0
51,True,1,-210.0
52,True,2,-235.0
53,True,1,-90.0
