OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-HI,USGS Hawaii Water Science Center,USGS-16226200,"N. Halawa Str nr Honolulu, Oahu, HI",Stream,,20060000,4.02,sq mi,,,21.38200000000000,-157.9033333000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,160,feet,10,feet,Interpolated from topographic map.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16238000,"Makiki Stream at King St. bridge, Oahu, HI",Stream,,20060000,2.47,sq mi,,,21.29663889000000,-157.8367500000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10,feet,2,feet,Interpolated from topographic map.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16238500,"Waihi Stream at Honolulu, Oahu, HI",Stream,,20060000,1.12,sq mi,,,21.32836110000000,-157.8008610000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,290.77,feet,.01,feet,Level or other surveyed method.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16244000,"Pukele Stream near Honolulu, Oahu, HI",Stream,,20060000,1.15,sq mi,,,21.30666667000000,-157.7883333000000,24000,1,seconds,Interpolated from MAP.,NAD83,344.78,feet,.01,feet,Level or other surveyed method.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16247100,"Manoa-Palolo Drainage Canal at Moiliili, Oahu, HI",Stream: Canal,,20060000,10.2,sq mi,,,21.28652778000000,-157.8185556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5,feet,5,feet,Interpolated from topographic map.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16247150,"Makiki Stream at Archie Baker Park, Oahu, HI",Stream,,20060000,1.09,sq mi,,,21.30872222000000,-157.8304167000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,140,feet,10,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16248950,"Kahawai Str at Waimanalo, Oahu, HI",Stream,,20060000,1.13,sq mi,,,21.34758333000000,-157.7233889000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,19,feet,2,feet,Interpolated from topographic map.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16249000,"Waimanalo Str at Waimanalo, Oahu, HI",Stream,,20060000,2.13,sq mi,,,21.34997222000000,-157.7289167000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,20,feet,10,feet,Interpolated from topographic map.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16264690,"Kawainui Stream near Kailua, Oahu, HI",Stream,,20060000,0.46,sq mi,,,21.39286110000000,-157.7741944000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,163,feet,20,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16265000,"Kawa Str at Kaneohe, Oahu, HI",Stream,,20060000,1.13,sq mi,,,21.40575000000000,-157.7905000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,50,feet,20,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16274100,"Kaneohe Str blw Kamehameha Hwy, Oahu, HI",Stream,,20060000,5.22,sq mi,,,21.41180556000000,-157.7981110000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,34,feet,10,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16283480,"Ahuimanu Str nr Kahaluu, Oahu, HI",Stream,,20060000,2.32,sq mi,,,21.44791667000000,-157.8343889000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,25,feet,5,feet,Interpolated from topographic map.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16294100,"Waiahole Stream above Kamehameha Hwy, Oahu, HI",Stream,,20060000,3.81,sq mi,,,21.48202778000000,-157.8458889000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14.0,feet,.1,feet,Level or other surveyed method.,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-212503157490001,"Iolekaa Stream 55 ft US of Heeia conf., Oahu, HI",Stream,,20060000,,,,,21.41752778000000,-157.8166278000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,140,feet,20,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-212518157484201,"Heeia Stream 770 ft US of Alaloa St., Oahu, HI",Stream,,20060000,,,,,21.42176667000000,-157.8117583000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,65,feet,20,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-212614157503601,"Right Fork Kahaluu Stream at Ahuimanu Rd, Oahu, HI",Stream,,20060000,,,,,21.43708333000000,-157.8434722000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,171,feet,20,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-212635157503101,"Kahaluu Stream at Henoheno St, Oahu, HI",Stream,,20060000,,,,,21.44302778000000,-157.8419444000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,95,feet,10,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-212651157501601,"Kahaluu Stream at Kialua St, Oahu, HI",Stream: Canal,,20060000,,,,,21.44750000000000,-157.8378610000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,40,feet,10,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-212718157505201,"Waihee Stream near 55 ft alt, Oahu, HI",Stream,,20060000,,,,,21.45508333000000,-157.8478610000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,55,feet,10,feet,Interpolated from Digital Elevation Model,LMSL,US,15,003,,,,,,,,,,NWIS
